Instrument;last Time;Kaufpreis;last Price;TakeProfit;StopLoss;macd;macdTrigger;parabolicSAR;ema
CHF_HKD;2022-06-03T14:45;-1999,522644;8,149000;8,116000;8,166000;-0,008230;-0,008189;8,168398;8,175748
GBP_HKD;2022-06-03T14:45;-1999,522644;9,836000;9,797000;9,856000;-0,005613;-0,005544;9,857039;9,853229
TRY_JPY;2022-06-03T14:45;-1999,522644;7,800000;7,769000;7,816000;-0,001568;0,003539;7,850805;7,874930
TRY_JPY;2022-06-03T14:45;-1999,522644;7,800000;7,769000;7,816000;-0,001568;0,003539;7,850805;7,874930
AUD_CHF;2022-06-03T14:45;1999,522644;0,696000;0,699000;0,694000;0,000144;0,000124;0,694560;0,693441
NZD_HKD;2022-06-03T14:45;-1999,362972;5,111000;5,091000;5,122000;-0,005438;-0,005382;5,129060;5,123892
USD_INR;2022-06-03T15:00;1999,362972;77,600000;77,910000;77,444000;0,020396;0,020199;77,544378;77,490509
EUR_USD;2022-06-03T15:00;-1999,362972;1,071000;1,067000;1,074000;-0,000624;-0,000576;1,074814;1,072468
USD_DKK;2022-06-03T15:00;1999,357574;6,941000;6,969000;6,927000;0,003668;0,003655;6,919254;6,935817
AUD_CAD;2022-06-03T15:00;-1999,357574;0,908000;0,904000;0,910000;-0,000819;-0,000815;0,908124;0,910782
EUR_HKD;2022-06-03T15:15;-1999,357574;8,410000;8,376000;8,427000;-0,004258;-0,004198;8,429278;8,414333
USD_SEK;2022-06-03T15:30;1999,357574;9,765000;9,804000;9,745000;0,011654;0,011521;9,739736;9,750272
SGD_CHF;2022-06-03T15:30;1999,224418;0,699000;0,702000;0,697000;0,000296;0,000361;0,699222;0,699085
USD_SEK;2022-06-03T15:30;-1999,224418;9,765000;9,726000;9,785000;0,011654;0,011521;9,739736;9,750272
AUD_CAD;2022-06-03T15:30;1999,224418;0,907000;0,911000;0,905000;-0,000899;-0,000835;0,909575;0,910723
CAD_JPY;2022-06-03T15:30;-1999,224418;104,000000;103,584000;104,209000;0,127589;0,127037;103,757000;102,999453
USD_SEK;2022-06-03T15:30;1999,206380;9,764000;9,803000;9,744000;0,011574;0,011512;9,739736;9,750262
SGD_CHF;2022-06-03T15:30;-1999,206380;0,699000;0,696000;0,701000;0,000296;0,000361;0,699222;0,699085
AUD_CAD;2022-06-03T15:30;-1999,206380;0,907000;0,903000;0,909000;-0,000899;-0,000835;0,909575;0,910723
CAD_JPY;2022-06-03T15:30;1999,206380;104,000000;104,416000;103,791000;0,127589;0,127037;103,757000;102,999453
USD_PLN;2022-06-03T15:30;1999,206380;4,286000;4,303000;4,277000;0,003107;0,003081;4,272544;4,274950
USD_ZAR;2022-06-03T15:30;1999,206380;15,539000;15,601000;15,507000;0,015538;0,015513;15,483100;15,507167
NZD_CAD;2022-06-03T15:45;-1999,206380;0,818000;0,815000;0,820000;-0,000926;-0,000870;0,820517;0,822960
USD_CZK;2022-06-03T15:45;1999,206380;23,035000;23,127000;22,988000;0,010048;0,009717;22,988580;23,031120
USD_NOK;2022-06-03T15:45;1999,206380;9,449000;9,487000;9,430000;0,010792;0,010669;9,428581;9,414392
EUR_ZAR;2022-06-03T15:45;1999,206380;16,663000;16,730000;16,629000;0,008169;0,008117;16,606986;16,631672
EUR_SEK;2022-06-03T16:00;1999,206380;10,476000;10,518000;10,455000;0,007314;0,007011;10,461973;10,457814
EUR_CAD;2022-06-03T16:00;-1999,206380;1,347000;1,342000;1,350000;-0,000654;-0,000646;1,349529;1,351577
USD_TRY;2022-06-03T16:00;-1999,206380;16,657000;16,590000;16,691000;0,014205;0,006936;16,538750;16,473783
EUR_TRY;2022-06-03T16:00;-1999,206380;17,843000;17,772000;17,879000;0,003045;-0,001811;17,659120;17,667839
TRY_JPY;2022-06-03T16:00;1999,206380;7,800000;7,831000;7,784000;0,001201;0,006781;7,946000;7,876686
USD_TRY;2022-06-03T16:00;1999,206380;16,657000;16,724000;16,623000;0,014205;0,006936;16,538750;16,473783
EUR_TRY;2022-06-03T16:00;1999,206380;17,843000;17,914000;17,807000;0,003045;-0,001811;17,659120;17,667839
TRY_JPY;2022-06-03T16:00;-1999,206380;7,800000;7,769000;7,816000;0,001201;0,006781;7,946000;7,876686
USD_TRY;2022-06-03T16:00;-1999,206380;16,657000;16,590000;16,691000;0,014205;0,006936;16,538750;16,473783
USD_TRY;2022-06-03T16:00;1999,206380;16,657000;16,724000;16,623000;0,014205;0,006936;16,538750;16,473783
EUR_TRY;2022-06-03T16:00;-1999,206380;17,843000;17,772000;17,879000;0,003045;-0,001811;17,659120;17,667839
